code_of_country,Territories,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021
004,Afghanistan,288,299.7,195,640.1,2715,1123.8,1958.57,2423.69,2605.03,140.073,236.718,1029.086,724.402,4374.86,804.33,595.675,2459.739,2201.5603,2098.9569,2981.45093,2318.8479992,6191.9028346
008,Albania,2.6,NA,NA,NA,0.3,1.1,0.2,0.2,NA,0.2,2.31,0.11,NA,NA,0.54,12.57,2.7564,5.477,11.7727,34.97619,17.3223835,60.5077515
010,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
012,Algeria,NA,0.1,0.1,5.5,0,0,0,0.1,NA,1.39,0,0.107,NA,0.024,0.026,NA,0.4741,17.3132,3.6137,0.18809,28.535912,2571.8638102
016,American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48,0.028,100.88,NA,0.531
020,Andorra,NA,NA,NA,2.3,3.9,2.6,NA,NA,NA,20.56,NA,NA,31.61,44.84,NA,NA,NA,NA,NA,41.21343,0.0096361,NA
024,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0134,NA,NA,NA,0.0837,2e-4,4.5e-4,0.0013,0.4734142
028,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.768,NA,NA,13.04
031,Azerbaijan,4252.6,8532.7,5534.42,3860.4,5991.12,6701.19,6758.1,7310.11,11151.903,8535.907,33910.5925,52498.687,9175.656,9908.188,34277.832,15076.7573,5201.657,4919.6577,11551.8228,21696.38078,29528.2845461,42901.7773375
032,Argentina,2769.1,2274.7,4734.4,3326.44,498,2399.2,794.2,989.65,2534.83,5962.47,9680.698,6877.45,10463.588,22241.666,48370.128,9405.689,5680.544,17851.829,14159.691,14499.27653,14869.77303,60269.5210609
036,Australia,5323.2,4167.8,4469.52,4831,6262.9,5875.3,3166.84,3204.74,4357.1,6672.247,2955.072,4402.883,2179.708,7390.869,2318.395,1031.644,917.5594,1425.4698,452.7989,2868.50455,12829.9072187,8267.1592654
040,Austria,40602.2,27416,12786.26,14883.96,24713.7,41979.8,43435.92,71368.69,68885.74,93865.747,80557.713,116351.3738,120829.867,75466.172,93538.76821,74229.3451,107917.9705,70324.8815,103000.8499,125371.84661,108810.7362526,98022.164604
044,Bahamas,NA,NA,7.1,0.2,NA,80.1,NA,4.33,8.1,16.74,NA,NA,NA,2.58,NA,NA,0.203,NA,81.3376,7.4e-4,NA,NA
048,Bahrain,0.1,NA,NA,NA,NA,NA,62.9,18.9,18,31.5,36.43,22.217,2.11,95.292,30.379,35.987,30.5118,27.9565,102.1435,125.50716,185.6683288,170.5762861
050,Bangladesh,3111.5,1922.2,1252.33,4134,6491.1,1427.4,281.62,279.72,206.94,147.76,844.122,475.549,1321.304,16012.326,14887.953,18264.219,12335.797,11557.044,14640.6953,16926.08194,14565.2091479,18367.5254574
051,Armenia,591.1,726.5,372.06,769.73,1523.2,1365.8,295.61,821.38,2767.56,1107.66,2554.957,1167.039,1484.868,1807.298,1741.3079,1864.75,1846.386,2234.8209,2476.6106,2511.75219,2944.4574671,2998.3937712
052,Barbados,NA,NA,0.29,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,24.999,NA,NA,NA,NA,NA,4.839
056,Belgium,39365.2,31604.2,24555.16,20527.77,20456.7,29487.9,22782.09,29970.83,33882.6,33394.87,38040.127,47792.145,48651.48,61933.1324,60741.922,55443.6102,59005.1913,50431.5545,61325.406,86387.31974,49557.6831161,63582.1152271
060,Bermuda,262.7,NA,13,192,1372,NA,448.2,554.2,427,1074.1,335,399,2.5,NA,NA,NA,NA,NA,6.2,NA,NA,NA
064,Bhutan,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
068,Bolivia (Plurinational State of),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8981,NA,0.0239,0.055,0.452,0.901
070,Bosnia and Herzegovina,NA,NA,NA,NA,0.3,0.2,1.1,0.74,2.94,0,0.1,10.72,3.02,1.613,1.6114,2.996,7.098,4.429,14.122,23.08424,35.2061669,153.5097603
072,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA
074,Bouvet Island,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
076,Brazil,1542,9917.6,40903.1,53099.84,71161.7,57610.7,96780.83,68129.26,147918.3,181579.19,231598.718,299803.934,268782.946,261721.843,258215.461,315389.988,355017.184,320924.9892,50728.9102,115504.15443,89169.487159,348228.3134506
084,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.622,421,779.45,106.29,NA,NA,84653,NA,NA,NA,NA,NA
086,British Indian Ocean Territory,NA,NA,NA,NA,NA,NA,7.9,5.5,21.18,275.86,84.667,2946.066,1.98,118.76,2.19,0.32,NA,NA,NA,14.67,82.61,6.261
090,Solomon Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
092,British Virgin Islands,30.5,420.3,42.41,383.29,4092,68.1,2662.27,1597.69,380.61,1417.22,926.92,1585.85,911.458,238.9,74.864,339.277,7.228,11.65,32.3,1371.5168,346.5,9.9
096,Brunei Darussalam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,0.0069,0.077,8.7e-4,NA,0.111
100,Bulgaria,3821.8,4623.1,6142.8,2970,4107.5,5464.9,2832.79,5803.05,7043.25,7747.12,7999.269,8746.324,15868.592,26985.09646,20908.96054,38011.076,20490.553,13720.9697,17954.5145,23753.20343,26169.8619951,44400.5821808
104,Myanmar,NA,NA,NA,NA,NA,NA,181.2,92.9,NA,895,226.73,201.1,219.5,185.35,135.55,108.23,205.687,205.979,196.6229,168.97723,398.2639807,117.27421
108,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174,0.00165,NA,NA
112,Belarus,26519.9,36466.8,25149.01,38154.79,49769.2,54923.76,63443.71,127191.3,141612.177,143504.462,112652.1711,134673.385,156761.7238,173629.372,153048.382,88977.5044,94362.9465,154959.5849,377167.2695,283906.3087,219540.8075734,319179.7809116
116,Cambodia,NA,NA,0.1,NA,NA,NA,6.02,NA,1.8,NA,0.2,0.1,NA,0.16,9.36,19.32,29.728,24.789,50.813,55.46308,53.1698044,120.45194
120,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87,NA,NA,NA,NA,28.003
124,Canada,8113.5,2089.5,4177.54,9150.2,4801.4,17048.7,20535.65,6874.23,4267.38,5403.4608,10217.3028,12822.027,11218.281,4364.175,4801.783,2776.23,3680.672,12905.1008,5109.8511,9401.3948,14317.0078314,17110.6408869
132,Cabo Verde,NA,NA,NA,NA,NA,NA,NA,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Cayman Islands,367.3,NA,24.1,NA,NA,97,476.7,1931,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,0.0413,250,NA,NA
140,Central African Republic,70.4,NA,0.11,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.971,NA,0.02605,0.0492552,NA
144,Sri Lanka,1009.3,2537.2,1660.3,2128.6,615.6,378.1,241.26,489.12,499.43,1065.92,1246.992,593.52,2448.95,2637.386,1005.249,1261.993,2358.5163,1159.7253,881.2747,2180.87509,1516.6701266,2382.1621184
148,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA
152,Chile,21,7.1,48.2,161.1,98,6790.1,302.03,214.3,23.7,37.39,28.21,101.48,145.454,164.6,469.508,384.94,328.695,354.7965,267.6685,393.87689,244.972674,453.253
156,China,73018,91750.1,112766.45,163142.55,265662.48,257211.8,377564.14,589541.65000001,1253468.283,1562427.838,1252008.872,1397236.4339,1894840.39685,2455089.75116,2396758.2148201,2258143.7968001,2254298.1028001,2728741.2572,3558143.4919,5108629.1558401,4501216.6894492,4923420.6374187
158,Taiwan,1094.3,1348.4,2648.9,4591.49,7430.1,8702.9,9163.52,8687.82,4666.76,3016.6,10003.782,4037.238,7694.808,9468.803,14336.8,8383.533,7565.893,11850.7866,22566.3228,17456.59868,12096.1806608,23301.6368171
162,Christmas Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,Cocos (Keeling) Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793,NA,NA
170,Colombia,4.2,NA,NA,2.8,0,2.9,1.6,2.41,2.96,NA,16.79,0.15,24.27,231.76,15.392,23.48,488.571,38.8349,6.524,17.838,49.469,50.192
